Latin,Armenian,Arabic,Note
substantia,ջովհար,جوهر,
qualitas,քէֆիաթ,كيفية,
quantitas,քամիաթ,كمية,
relatio,իտաֆաթ,إضافة,
ubi,այն,أين,
quando,մաթէ,متى,
situs,ուատայ,وضع,
habitus,միլիք,ملك,
actio,իայ ֆայալ,يفعل,
passio,իամ ֆայալ,ينفعل,
genus,ջինս,جنس,
species,նավյ,نوع,
proprium,խասայ,خاصة,
differentia,ֆասլ,فصل,
accidens,յարատ,عرض,
universalis,իամ,عام,
natura,տապիաթ,طبيعة,
persona,շաղսիաթ,شخصية,
essentia,զդաթ,ذات,
affirmatio,ամր,أمر,
negatio,նահի,نهي,
simplex,բասիտ,بسيط,
compositum,մուրաքաբ,مركب,
materia,հիւլէ,هيولى,
forma,սուրաթ,صورة,
creator,խալիխ,خالق,
creatus,մախլուխ,مخلوق,
